Filing,text,Section heading,Polarity score,sentiment label
1441816_10K_2021_0001441816-21-000051.htm,The information required by this Item will be included in the 2021 Proxy Statement and is incorporated herein by reference. Item 13. Certain Relationships and Related Transactions and Director Independence.,item_13,0.0357142857142857,neutral
1441816_10K_2021_0001441816-21-000051.htm,The information required by this Item will be included in the 2021 Proxy Statement and is incorporated herein by reference. Item 14. Principal Accounting Fees and Services.,item_14,0.0,neutral
1441816_10K_2021_0001441816-21-000051.htm,"The table below details the activity of the allowance for doubtful accounts and the deferred tax asset valuation allowance for the years ended January 31, 2021, 2020 and 2019 in thousands.",item_15,-0.8,bad
1064722_10K_2020_0001760319-21-000039.htm,GiveMePower Corporation operates and manages a portfolio of real estate and financial services assets and operations to empower black persons in the United States through financial tools and resources. Givemepower is primarily focused on creating and empowering local black businesses in urban America and creating real estate properties and businesses in opportunity zones and other distressed neighborhood across America.,item_1,0.0298611111111111,neutral
1064722_10K_2020_0001760319-21-000039.htm,"An investment in our securities involves a high degree of risk. If any of the risks and uncertainties described in this prospectus actually occurs, then our business, results of operations and financial condition could be adversely affected in a material way.",item_1A,0.08,good
1064722_10K_2020_0001760319-21-000039.htm,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of the U.S. for next week. Visit CNN.com/Travel next Wednesday for a new gallery.,item_1B,0.1893939393939393,good
1064722_10K_2020_0001760319-21-000039.htm,"We do not own any property as at the date of filing we have no properties. Our principal business, executive and registered statutory office is located at 370 Amapola Ave., Suite 200A, Torrance, CA 90501.",item_2,-0.15,bad
1064722_10K_2020_0001760319-21-000039.htm,"As of December 31, 2020, we are not involved in any pending or threatened legal proceedings.",item_3,0.2,good
1064722_10K_2020_0001760319-21-000039.htm,MINE SAFETY DISCLOSURES not applicable.,item_4,0.0,neutral
1064722_10K_2020_0001760319-21-000039.htm,"We are authorized to issue 1,200,000,000 shares of Common Stock 0.001 par value per share the Common Stock. As of December 31, 2020, there were 1 share of preferred shares and 42,724,687.00 shares of common stock outstanding held by 158 stockholders of record. Our Common Stock is subject to quotation on the OTC Pink Market under the trading symbol GMPW.",item_5,-0.1296296296296296,bad
1064722_10K_2020_0001760319-21-000039.htm,The company has no plans to issue shares in the near future. The company does not have any plans to sell shares.,item_6,0.025,neutral
1064722_10K_2020_0001760319-21-000039.htm,GiveMePower Corporation operates and manages a portfolio of real estate and financial services assets and operations to empower black persons in the United States through financial tools and resources. Givemepower is primarily focused on creating real estate properties and businesses in opportunity zones and other distressed neighborhood across America. This Offering represents the commencement of the Banking and financial Services division of our business.,item_7,0.0555555555555555,good
1064722_10K_2020_0001760319-21-000039.htm,Not applicable. ItEM 7A. QUANTITATIVE AND QUALITATIVE DISCLOSURES About MARKET RISK. Not applicable.,item_7A,0.0,neutral
1064722_10K_2020_0001760319-21-000039.htm,"The Company has an accumulated deficit of 6,351,470 and had a negative cash flow from operations amounting to 120,008 for the year ended December 31, 2020. These factors as discussed in Note 6 of the financial statements raise substantial doubt about the Companys ability to continue as a going concern. We conducted our audits in accordance with the standards of the PCAOB.",item_8,-0.0999999999999999,bad
1064722_10K_2020_0001760319-21-000039.htm,One of the items in this list is a change in the way the company accounts and discloses financial information. The company has changed its accounting and financial reporting procedures.,item_9,0.0,neutral
1064722_10K_2020_0001760319-21-000039.htm,"Ineffective control over the financial statements closing process Insufficient personnel with an appropriate level of accounting knowledge, experience with the Company andor industry. Lack of segregation of duties and Inadequate monitoring of nonroutine and nonsystematic transactions.",item_9A,0.125,good
1064722_10K_2020_0001760319-21-000039.htm,"B. ITEM 9B. None. B. ITem 9C. No mention of the ""B"" word in this article.",item_9B,0.0,neutral
1064722_10K_2020_0001760319-21-000039.htm,"The number of authorized directors has been set at five pursuant to our bylaws. Each director shall be selected for a term of one year and until his successor is elected and qualified. The names and ages of our directors and officers, and their positions, are as follows.",item_10,0.0,neutral
1064722_10K_2020_0001760319-21-000039.htm,"Compensation for the CEO and the CFO is approved by the Independent Directors of the Board or the general Board. Overall compensation is intended to be competitive for comparable positions at peer companies. Executive compensation includes base salary, annual discretionary bonuses awarded by the Board of Directors in conjunction with named executives annual performance evaluations.",item_11,-0.2583333333333333,bad
1064722_10K_2020_0001760319-21-000039.htm,"As of December 31, 2020, we had 42,724,684shares of Common Stock issued and outstanding. Frank Igwealor, our President and CEO, will continue to be the largest single shareholder of our common stock.",item_12,-0.0428571428571428,neutral
1064722_10K_2020_0001760319-21-000039.htm,"During the year ended December 31, 2020, the Company did not make any share award to the entities and persons in transactions that would be classified as related parties transactions. The Company does not own any property. It currently shares a leased office with two other organizations that are affiliated to its principal shareholder.",item_13,-0.1208333333333333,bad
1064722_10K_2020_0001760319-21-000039.htm,We did not pay any other fees as specified in Item 9e of Schedule 14A. We do not have audit committee preapproval policies and procedures.,item_14,-0.0625,bad
1064722_10K_2020_0001760319-21-000039.htm,The following exhibits are filed as part of this Form 10K and this list includes the Exhibit Index. The power of Attorney is included on the signature page in this Annual Report on this form 10K.,item_15,0.0,neutral
1015739_10K_2020_0001564590-21-006373.htm,"Aware, Inc. is a global leader in biometrics software offerings and solutions. Our portfolio enables government agencies and commercial entities to enroll, identify, authenticate and enable using biometric characteristics. Our products span multiple biometric modalities, including fingerprint, face, iris and voice.",item_1,0.0416666666666666,neutral
1015739_10K_2020_0001564590-21-006373.htm,"The extent to which our operating and financial results will continue to be affected by the COVID19 pandemic will depend on various factors and consequences beyond our control. Changes in government contracting policies or government budgetary constraints may adversely affect our financial performance. A significant commercial market for biometrics technology may not develop, and, even if it does, there can be no assurance our biometric technology will be successful.",item_1A,0.125,good
1015739_10K_2020_0001564590-21-006373.htm,Not applicable. ITEM 1B. Unresolved Staff Comments.,item_1B,0.0,neutral
1015739_10K_2020_0001564590-21-006373.htm,"We currently occupy approximately 72,000 square feet of office space in Bedford, Massachusetts, which serves as our headquarters. This site is used for our research and development, sales and marketing, and administrative activities. We own this facility.",item_2,0.1333333333333333,good
1015739_10K_2020_0001564590-21-006373.htm,"From time to time we are involved in litigation incidental to the conduct of our business. We are not party to any lawsuit or proceeding that, in our opinion, is likely to materially impact us.",item_3,0.0,neutral
1015739_10K_2020_0001564590-21-006373.htm,Not applicable. ITEM 4. MINE SAFETY DISCLOSURES. Not applicable.,item_4,0.0,neutral
1015739_10K_2020_0001564590-21-006373.htm,"Our common stock is the only class of stock we have outstanding, and it trades on the Nasdaq Global Market under the symbol AWRE. As of February 11, 2021, we had approximately 78 shareholders of record. We paid no dividends in 2020 or 2019.",item_5,-0.1166666666666666,bad
1015739_10K_2020_0001564590-21-006373.htm,The company has no plans to make any changes to its business model. The company is not planning to make changes to any of its business models.,item_6,0.0,neutral
1015739_10K_2020_0001564590-21-006373.htm,"We are primarily engaged in the development and sale of biometrics products, solutions and services. Our software products are used in government and commercial systems and applications and fulfill a broad range of functions critical to secure biometric enrollment, authentication, identification and transactions.",item_7,0.2578125,good
1015739_10K_2020_0001564590-21-006373.htm,"Nan nan nan is an award-winning author and journalist. She is best known for her work on the book ""The Secret Life of the American Dream""",item_7A,0.0999999999999999,good
1015739_10K_2020_0001564590-21-006373.htm,"The financial statements present fairly, in all material respects, the financial position of the Company as of December 31, 2020 and 2019. The Company is not required to have, nor were we engaged to perform, an audit of its internal control over financial reporting. The communication of critical audit matters does not alter in any way our opinion on the financial statements, taken as a whole.",item_8,0.0805555555555555,good
1015739_10K_2020_0001564590-21-006373.htm,one. CHANGES IN AND DISAGREEMENTS WITH ACCOUNTANTS ON ACCOUNTING AND FINANCIAL DISCLOSURENone.,item_9,0.0,neutral
1015739_10K_2020_0001564590-21-006373.htm,"Our management is responsible for establishing and maintaining adequate internal control over financial reporting as defined in Rules 13a15f under the Exchange Act. Under the supervision and with the participation of our management, including our chief executive officer and chief financial officer, we conducted an evaluation of the effectiveness of our internal control.",item_9A,0.0666666666666666,good
1015739_10K_2020_0001564590-21-006373.htm,"None. ITEM 9B. Other than this, there is no further information on this item.",item_9B,-0.0208333333333333,neutral
1015739_10K_2020_0001564590-21-006373.htm,"The information required by Item 10 of Form 10K is incorporated by reference from the information contained in the sections captioned Directors and Executive Officers, Corporate Governance and Section 16a Beneficial Ownership Reporting Compliance. The Proxy Statement will be delivered to our shareholders in connection with our May 19, 2021 Annual Meeting of Shareholders.",item_10,0.0,neutral
1015739_10K_2020_0001564590-21-006373.htm,"The information required by Item 11 of Form 10K is incorporated by reference from the information contained in the section captioned Executive Compensation in the Proxy Statement that will be delivered to our shareholders in connection with our May 19, 2021 Annual Meeting of Shareholders.",item_11,0.0,neutral
1015739_10K_2020_0001564590-21-006373.htm,"The information required by Item 12 of Form 10K is incorporated by reference from the information contained in the section captioned Security Ownership of Certain Beneficial Owners and Management and Related Stockholder Matters. The Proxy Statement will be delivered to our shareholders in connection with our May 19, 2021 Annual Meeting of Shareholders.",item_12,0.0535714285714285,good
1015739_10K_2020_0001564590-21-006373.htm,"The information, if any, required by Item 13 of Form 10K is incorporated by reference from the information contained in the sections captioned Corporate Governance and Certain Relationships and Related Transactions. The Proxy Statement will be delivered to our shareholders in connection with our May 20, 2020 Annual Meeting of Shareholders.",item_13,0.0357142857142857,neutral
1015739_10K_2020_0001564590-21-006373.htm,"The information required by Item 14 of Form 10K is incorporated by reference from the information contained in the section captioned Independent Accountants in the Proxy Statement. The Proxy Statement will be delivered to our shareholders in connection with our May 19, 2021 Annual Meeting of Shareholders.",item_14,0.0,neutral
1015739_10K_2020_0001564590-21-006373.htm,The exhibits listed below are filed with or incorporated by reference in this report. The following documents are filed as part of this reporta. Financial Statements and Exhibits.,item_15,0.0,neutral
1535527_10K_2021_0001535527-21-000007.htm,"CrowdStrike founded in 2011 to reinvent security for the cloud era. We believe we are defining a new category called the Security Cloud. Our solution benefits from crowdsourcing and economies of scale, which enables our AI algorithms to be uniquely effective.",item_1,0.2454545454545454,good
1535527_10K_2021_0001535527-21-000007.htm,"A description of the risks and uncertainties associated with our business is set forth below. The market price of our Class A common stock could decline, and you could lose all or part of your investment. The occurrence of any of the events or developments described below could materially and adversely affect our business.",item_1A,-0.0999999999999999,bad
1535527_10K_2021_0001535527-21-000007.htm,None. Item 1B. Unresolved Staff CommentsNone.,item_1B,0.0,neutral
1535527_10K_2021_0001535527-21-000007.htm,"Our corporate headquarters occupies approximately 68,791 square feet in Sunnyvale, California. We also lease offices in California, Maryland, Missouri, Minnesota, Texas, Virginia, Oregon, and Washington. We believe that our existing facilities are sufficient for our current needs.",item_2,-0.0666666666666666,bad
1535527_10K_2021_0001535527-21-000007.htm,"We are currently a party to, and may from time to time in the future be involved in, various litigation matters and subject to claims that arise in the ordinary course of business. For information regarding legal proceedings and other claims in which we are involved, see Note 12, Commitments and Contingencies in our Notes to Consolidated Financial Statements.",item_3,-0.0291666666666666,neutral
1535527_10K_2021_0001535527-21-000007.htm,Not applicable. Item 4. Mine Safety Disclosures not applicable.,item_4,0.0,neutral
1535527_10K_2021_0001535527-21-000007.htm,"Our Class A common stock has been listed and traded on the Nasdaq Global Select Market under the symbol CRWD since June 12, 2019. There is no public market for our Class B common stock. We have never declared or paid any cash dividends on our capital stock.",item_5,-0.0999999999999999,bad
1535527_10K_2021_0001535527-21-000007.htm,"The selected consolidated statements of operations data presented below for fiscal 2021, fiscal 2020, and fiscal 2019 are derived from our audited consolidated financial statements that are included elsewhere in this Annual Report on Form 10K. Our historical results are not necessarily indicative of the results that may be expected in the future. The Company adopted the Accounting Standards Update ASU 201602, Leases Topic 842 as discussed in Note 2.",item_6,-0.0083333333333333,neutral
1535527_10K_2021_0001535527-21-000007.htm,"We founded CrowdStrike in 2011 to reinvent security for the cloud era. With our Falcon platform, we created the first multitenant, cloud native, intelligent security solution capable of protecting workloads across onpremise, virtualized, and cloudbased environments. We received aggregate proceeds of 665.1 million from the IPO, net of underwriters discounts and commissions.",item_7,0.1388888888888889,good
1535527_10K_2021_0001535527-21-000007.htm,"As of January 31, 2021, we had cash and cash equivalents of 1.9 billion and no marketable securities. The primary objectives of our investment activities are the preservation of capital, the fulfillment of liquidity needs, and the fiduciary control of cash and investments.",item_7A,0.2,good
1535527_10K_2021_0001535527-21-000007.htm,"Report of Independent Registered Public Accounting Firm to the Board of Directors and Stockholders of CrowdStrike Holdings, Inc.",item_8,-0.0666666666666666,bad
1535527_10K_2021_0001535527-21-000007.htm,None. Item 9. Changes in and Disagreements with Accountants on Accounting and Financial DisclosureNone.,item_9,0.0,neutral
1535527_10K_2021_0001535527-21-000007.htm,"We maintain disclosure controls and procedures that are designed to provide reasonable assurance that information required to be disclosed by us in the reports that we file or submit under the Exchange Act is recorded, processed, summarized and reported. Our management conducted an evaluation of the effectiveness of our internal control over financial reporting as of January 31, 2021. PricewaterhouseCoopers LLP, an independent registered public accounting firm, has audited the company.",item_9A,0.0444444444444444,neutral
1535527_10K_2021_0001535527-21-000007.htm,None. Item 9B. Other InformationNone.,item_9B,-0.0416666666666666,neutral
1535527_10K_2021_0001535527-21-000007.htm,"We have adopted a code of business conduct and ethics that applies to all of our employees, executive officers and directors. The full text of the Code of Conduct is available on our website at ir.crowdstrike.com. The information otherwise required by this Item will be included in our definitive proxy statement for our 2021 annual meeting.",item_10,0.125,good
1535527_10K_2021_0001535527-21-000007.htm,The information required by this item is incorporated herein by reference to our 2021 Proxy Statement. Item 11. Executive Compensation.,item_11,0.0,neutral
1535527_10K_2021_0001535527-21-000007.htm,The information required by this item is incorporated herein by reference to our 2021 Proxy Statement. Item 12. Security Ownership of Certain Beneficial Owners and Management and Related Stockholder Matters.,item_12,0.0357142857142857,neutral
1535527_10K_2021_0001535527-21-000007.htm,"The information required by this item is incorporated herein by reference to our 2021 Proxy Statement. Item 13. Certain Relationships and Related Transactions, and Director Independence.",item_13,0.0357142857142857,neutral
1535527_10K_2021_0001535527-21-000007.htm,The information required by this item is incorporated herein by reference to our 2021 Proxy Statement. Item 14. Principal Accountant Fees and Services.,item_14,0.0,neutral
1535527_10K_2021_0001535527-21-000007.htm,"All financial statement schedules have been omitted as the information is not required under the related instructions or is not applicable. We have filed the exhibits listed on the accompanying Exhibit Index, which is incorporated herein by reference.",item_15,0.0,neutral
1401680_10K_2020_0001401680-21-000011.htm,"Cornerstone OnDemand, Inc. was incorporated on May 24, 1999 in the state of Delaware and began its principal operations in November 1999. On April 22, 2020, the Company acquired Saba Software, Inc., a provider of talent experience solutions. Together, the combined Company reaches over 6,000 customers of all sizes, spanning over 75 million users across over 180 countries and nearly 50 languages.",item_1,0.0333333333333333,neutral
1401680_10K_2020_0001401680-21-000011.htm,"Risks and uncertainties described below are not the only ones we face. Additional risks and uncertainties not presently known to us or that we presently deem less significant may also impair our business operations. If any of the events or circumstances described in the following risk factors actually occur, our business could be materially adversely affected.",item_1A,0.0173611111111111,neutral
1401680_10K_2020_0001401680-21-000011.htm,Not applicable. Item 1B. Unresolved Staff Comments.,item_1B,0.0,neutral
1401680_10K_2020_0001401680-21-000011.htm,"Our principal offices are located in Santa Monica, California, where we occupy approximately 94,000 square feet of office space under operating leases that expire in January 2024. We lease additional facilities in the US and various other countries. We believe that our facilities are adequate for our current needs.",item_2,-0.0986111111111111,bad
1401680_10K_2020_0001401680-21-000011.htm,"We are involved in a variety of claims, suits, investigations, and proceedings arising from the ordinary course of our business. Regardless of the outcome, litigation can have an adverse impact on us because of defense costs, diversion of management resources, and other factors.",item_3,-0.1875,bad
1401680_10K_2020_0001401680-21-000011.htm,Not applicable. Item 4. Mine Safety Disclosure not applicable.,item_4,0.0,neutral
1401680_10K_2020_0001401680-21-000011.htm,"Our common stock has been traded on the Nasdaq Global Select Market under the symbol CSOD since March 17, 2011. As of February 12, 2021, there were 22 holders of record of our common stock. We have never declared or paid, and do not anticipate declaring or paying, any cash dividends on ourcommon stock.",item_5,-0.15,bad
1401680_10K_2020_0001401680-21-000011.htm,We are not providing selected financial data information as we are choosing to voluntarily comply with the revisions to Item 6 of Form 10K. Item 6 eliminated the disclosure requirements contained in Item 301 of Regulation SK.,item_6,0.0,neutral
1401680_10K_2020_0001401680-21-000011.htm,"Cornerstone is a leading global provider of learning and people development solutions, delivered as softwareasaservice. On April 22, 2020, the Company acquired Saba Software, Inc. Together, the combined Company reaches over 6,000 customers of all sizes, spanning more than 75 million users across over 180 countries and nearly 50 languages.",item_7,0.0999999999999999,good
1401680_10K_2020_0001401680-21-000011.htm,"We have operations in the US and internationally, and we are exposed to market risks in the ordinary course of our business. These risks primarily include interest rate, foreign exchange, inflation, and counterparty risks. We use interest rate swap contracts to manage our exposure to fluctuations in interest rates related to our Term Loan Facility.",item_7A,0.0041666666666666,neutral
1401680_10K_2020_0001401680-21-000011.htm,"Cornerstone OnDemand, Inc. and its subsidiaries the Company as of December 31, 2020 and 2019. The related consolidated statements of operations, of comprehensive loss, of changes in stockholders equity and of cash flows are collectively referred to as the consolidated financial statements. In our opinion, the Company maintained, in all material respects, effective internal control over financial reporting.",item_8,0.0666666666666666,good
1401680_10K_2020_0001401680-21-000011.htm,None. Item 9. Changes in and Disagreements with Accountants on Accounting and Financial DisclosureNone.,item_9,0.0,neutral
1401680_10K_2020_0001401680-21-000011.htm,Our management is responsible for establishing and maintaining adequate internal control over financial reporting as defined in Rules 13a15f and 15d15f under the Exchange Act. Our internal control is designed to provide reasonable assurance regarding the reliability of financial reporting and the preparation of our consolidated financial statements.,item_9A,0.0916666666666666,good
1401680_10K_2020_0001401680-21-000011.htm,"On February 17, 2021, the Compensation Committee of our board of directors established an executive compensation plan for fiscal year 2021 the 2021 Plan. The 2021 Executive Bonus Plan is filed as Exhibit 10.25 to this Annual Report on Form 10K.",item_9B,0.0,neutral
1401680_10K_2020_0001401680-21-000011.htm,"The information required by this item will be set forth under the headings Board of Directors and Corporate Governance, Board Meetings and Committees of the Board, Executive Officers, and Other Information Delinquent Section 16a Reports, and under the proposal Election of Directors in our Proxy Statement for the 2021 Annual Meeting of Stockholders.",item_10,-0.0625,bad
1401680_10K_2020_0001401680-21-000011.htm,"The information required by this item will be set forth under the headings Board Meetings and Committees of the Board Director Compensation, Compensation Discussion and Analysis, Executive Summary Business and Compensation Highlights, Compensation Governance and Compensation Committee Interlocks and Insider Participation in our Proxy Statement for the 2021 Annual Meeting of Stockholders to be filed with the SEC.",item_11,-0.1,bad
1401680_10K_2020_0001401680-21-000011.htm,The information required by this item will be set forth under the headings Equity Compensation Plan Information and Security Ownership of Certain Beneficial Owners and Management in our Proxy Statement for the 2021 Annual Meeting of Stockholders to be filed with the SEC.,item_12,0.0571428571428571,good
1401680_10K_2020_0001401680-21-000011.htm,"The information required by this item will be set forth under the headings Board of Directors and Corporate Governance and Certain Relationships and Related Party Transactions in our Proxy Statement for the 2021 Annual Meeting of Stockholders to be filed with the SEC within 120 days of the fiscal year ended December 31, 2020.",item_13,0.0285714285714285,neutral
1401680_10K_2020_0001401680-21-000011.htm,"With the exception of the information incorporated in Items 10, 11, 12, 13, and 14 of this Annual Report on Form 10K, our Proxy Statement for the 2021 Annual Meeting of Stockholders to be filed with the SEC within 120 days of the fiscal year ended December 31, 2020 is not deemed filed as part of this annual report.",item_14,-0.1,bad
1401680_10K_2020_0001401680-21-000011.htm,The documents listed in the Exhibit Index immediately below are incorporated by reference or are filed with this Annual Report on Form 10K. Financial Statement Schedules have been omitted as information required is inapplicable.,item_15,0.0,neutral
1029744_10K_2021_0001437749-21-028230.htm,"Sonic Foundry, Inc. was founded in 1991, incorporated in Wisconsin in March 1994 and merged into a Maryland corporation of the same name in October 1996. The Company is poised to capture market share in the highly fragmented enterprise video market, which is expected to grow at an 11.6 continuous annual growth rate CAGR to 33 billion by 2027. In the Investors section of our website we make available, free of charge, our annual report on Form 10K.",item_1,0.1433333333333333,good
1029744_10K_2021_0001437749-21-028230.htm,"On August 26, 2020, the Securities and Exchange Commission Commission announced the adoption of amendments to modernize certain disclosures registrants are required to make pursuant to Regulation SK. The amendments are intended to reflect the Commissions commitment to a principlesbased, registrantspecific approach to disclosure, rooted in materiality.",item_1A,0.1071428571428571,good
1029744_10K_2021_0001437749-21-028230.htm,B. UNRESOLVED STAFF COMMENTSNone.,item_1B,0.0,neutral
1029744_10K_2021_0001437749-21-028230.htm,"Our principal office is located in Madison, Wisconsin in a leased facility of approximately 26,000 square feet. The current lease term for this office expires on December 31, 2021, and the renewed lease term expires on June 30, 2024. The rent for the remainder of the current lease period is approximately 60 thousand per month, and 56 thousand, 58 thousand, and 60 thousand for the calendar years of 2022, 2023, and January to June 2024, respectively.",item_2,-0.1777777777777777,bad
1029744_10K_2021_0001437749-21-028230.htm,None. It is not a legal matter. It does not have to do with the Constitution.,item_3,-0.0333333333333333,neutral
1029744_10K_2021_0001437749-21-028230.htm,"Sonic Foundry, Inc.Annual Report on Form 10KFor the Year Ended September 30, 2021.",item_4,0.0,neutral
1029744_10K_2021_0001437749-21-028230.htm,"The Company's common stock was initially traded on the American Stock Exchange under the symbol SFO, beginning with our initial public offering in April of 1998. On April 24, 2000, our common stock began trading on the NASDAQ Global Market under the symbols SOFO and SFO. Effective September 16, 2009, we transferred the listing of our commonStock to the NASdaq Capital Market. Effective December 31, 2018, we. transferred the listings of ourcommon stock to the OTCQB Market under. the symbol SOFO. At November 22, 2021, there were 211 common stockholders of record and approximately 2,800 total shareholders. The Company has not paid any cash dividends.",item_5,0.0945833333333333,good
1029744_10K_2021_0001437749-21-028230.htm,"The selected financial and operating data were derived from our consolidated financial statements. The selected financial data set forth below is qualified in its entirety by, and should be read in conjunction with, Managements Discussion and Analysis of Financial Condition and Results of Operations.",item_6,0.0,neutral
1029744_10K_2021_0001437749-21-028230.htm,"The financial and business analysis below provides information that Sonic Foundry, Inc. the Company believes is relevant to an assessment and understanding of the Companys consolidated financial position and results of operations. This report includes estimates, projections, statements relating to our business plans, objectives, and expected operating results that are forwardlooking.",item_7,0.0166666666666666,neutral
1029744_10K_2021_0001437749-21-028230.htm,"At September 30, 2021, the Company didnt carry outstanding debt with variable rate, therefore an increase in the level of interest rates would not have a material impact on our Consolidated Financial Statements. We monitor our positions with, and the credit quality of, the financial institutions.",item_7A,0.125,good
1029744_10K_2021_0001437749-21-028230.htm,"Consolidated financial statements present fairly, in all material aspects, the financial position of the Company at September 30, 2021 and 2020. The Company is not required to have, nor were we engaged to perform, an audit of its internal control over financial reporting. The communication of a critical audit matter does not alter in any way our opinion on the consolidated financial statements.",item_8,0.0583333333333333,good
1029744_10K_2021_0001437749-21-028230.htm,"ot applicable. ITEM 9. CHANGES IN AND DISAGREEMENTS WITH ACCOUNTANTS ON ACCOUNTING AND FINANCIAL DISCLOSURENot applicable, if applicable.",item_9,0.0,neutral
1029744_10K_2021_0001437749-21-028230.htm,"Our internal control over financial reporting is designed to provide reasonable assurance regarding the reliability of financial reporting and the preparation of financial statements for external purposes. All internal control systems, no matter how well designed, have inherent limitations, including the possibility of human error and the circumvention or overriding of controls.",item_9A,0.0166666666666666,neutral
1029744_10K_2021_0001437749-21-028230.htm,"Sonic Foundry, Inc. Announces Annual Report on Form 10K for the Year Ended September 30, 2021.",item_9B,0.0,neutral
1029744_10K_2021_0001437749-21-028230.htm,The information required by Item 10 of Form 10K with respect to directors and executive officers is incorporated herein by reference to the information contained in the section entitled Proposal One Election of Directors and Executive Officers of Sonic. Sonic Foundry has adopted a code of ethics that applies to all officers and employees.,item_10,0.0,neutral
1029744_10K_2021_0001437749-21-028230.htm,"The information required by Item 11 of Form 10K is incorporated herein by reference to the information contained in the sections entitled Directors Compensation, Executive Compensation and Related Information and Compensation Committee Interlocks and Insider Participation in the Proxy Statement.",item_11,0.0,neutral
1029744_10K_2021_0001437749-21-028230.htm,The information required by Item 12 of Form 10K is incorporated herein by reference to the information contained in the sections entitled Security Ownership of Certain Beneficial Owners and Management in the Proxy Statement. Information related to equity compensation plans is set forth in Item 5 herein.,item_12,0.1071428571428571,good
