,Unnamed: 0,Unnamed: 0.1,cik,date,Total Revenue,filenames,Number of customers,MRR,ARR,ARPU,Churn,CRR,MRR Expansion,Number of qualified leads,Penetration Rate,LTV,quater_year,url,year_month,Sales and Marketing,CAC,CAC payback,Gross Margin,quater_year_string,CAC payback period,ASP,LTV : CAC ratio,Total Assets,Total Liabilities Net Minority Interest,debt ratio,Total Equity Gross Minority Interest,Total Debt,Common Stock Equity,Total Capitalization,Shareholder Equity,Private Shareholding,Public Shareholding
10,10,10,1013462,12/30/2020,623686,1013462_0.csv,2878,207895.3333,2494744,866.8325226,,,,0.020671362,2.95E-06,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1013462/000101346221000009/Financial_Report.xlsx,2020-12,0,,,89.11263039,"Q4,2020",,NaN,,5940590,1842718,0.310191075,4097872,919058,4097872,4895990,4097872,0.83698537,0.16301463
11,11,11,1013857,ttm,1211653,1013857_0.csv,662,403884.3333,4846612,7321.166163,0.041968162,0.958031838,2.832113579,0.028194369,6.08E-07,174445.7179,"('-1', 'ttm')",,2021-ttm,625886,,,72.23932925,"-1,ttm",,5490.868044,,,,,,,,,,,
12,12,12,1013857,12/30/2021,316184,1013857_0.csv,691,105394.6667,1264736,1830.298119,-0.233928571,1.233928571,0.233802113,0.008691806,6.73E-07,-7824.175164,"('Q4', '2021')",,2021-12,168245,1284.312977,17.57758881,73.065367,"Q4,2021",0.115244103,-0.187595617,-6.092109403,1593531,1177443,0.738889297,416088,685529,416088,1006810,416088,0.413273607,0.586726393
13,13,13,1013857,9/29/2021,256268,1013857_0.csv,560,85422.66667,1025072,1830.485714,0.212376934,0.787623066,-0.213182603,0.007044733,5.45E-07,8619.042006,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1013857/000101385721000242/Financial_Report.xlsx,2021-09,152479,-1009.794702,-15.0412139,67.1351866,"Q3,2021",-0.098604739,-1.874341973,-8.535439915,1555397,1095765,0.704492165,459632,676857,459632,1049401,459632,0.437994627,0.562005373
14,14,14,1013857,6/29/2021,325702,1013857_0.csv,711,108567.3333,1302808,1832.360056,-0.037956204,1.037956204,0.038925164,0.008953453,6.93E-07,-48275.63994,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1013857/000101385721000175/Financial_Report.xlsx,2021-06,156423,6016.269231,81.24985678,74.04652105,"Q2,2021",0.532099725,1.708961368,-8.024182112,1602570,1080102,0.673981168,522468,631155,522468,1111560,522468,0.470031307,0.529968693
15,15,15,1013857,3/30/2021,313499,1013857_0.csv,685,104499.6667,1253996,1830.651095,-0.050613497,1.050613497,0.049896182,0.008617996,6.67E-07,-36169.22769,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1013857/000101385721000093/Financial_Report.xlsx,2021-03,148739,4507.242424,61.15575683,73.70103254,"Q1,2021",0.400878728,-1.2507456,-8.024690995,1528503,1049578,0.686670553,478925,624889,478925,1067343,478925,0.448707679,0.551292321
16,16,16,1013857,12/30/2020,298600,1013857_0.csv,652,99533.33333,1194400,1831.90184,,,,0.009896757,6.67E-07,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1013857/000101385721000032/Financial_Report.xlsx,2020-12,150009,,,74.24815807,"Q4,2020",,NaN,,1604262,1062090,0.662042734,542172,577256,542172,1060375,542172,0.511302134,0.488697866
17,17,17,1015739,ttm,16854,1015739_0.csv,15000,5618,67416,4.4944,-0.054481547,1.054481547,3.217717718,0.000392182,1.38E-05,-82.4939871,"('-1', 'ttm')",,2021-ttm,6324,,,92.82662869,"-1,ttm",,3.370744464,,,,,,,,,,,
18,18,18,1015739,12/30/2021,3996,1015739_0.csv,14225,1332,15984,1.123655536,0.042860988,0.957139012,-0.042874251,0.000109849,1.39E-05,26.2162772,"('Q4', '2021')",,2021-12,1540,-2.417582418,-0.025969514,93.09309309,"Q4,2021",-0.277339596,-1.56E-05,-10.84400557,48373,6851,0.141628594,41522,70.012,41522,41522,41522,1,0
19,19,19,1015739,9/29/2021,4175,1015739_0.csv,14862,1391.666667,16700,1.123671108,0.020884116,0.979115884,-0.02087242,0.00011477,1.45E-05,53.80505912,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1015739/000156459021052320/Financial_Report.xlsx,2021-09,1631,-5.14511041,-0.054630814,94.17964072,"Q3,2021",-0.583417835,1.34E-05,-10.45751302,47917,5768,0.120374815,42149,80.438,42149,42149,42149,1,0
20,20,20,1015739,6/29/2021,4264,1015739_0.csv,15179,1421.333333,17056,1.123657685,0.03508995,0.96491005,-0.035075809,0.000117216,1.48E-05,32.02220841,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1015739/000156459021038614/Financial_Report.xlsx,2021-06,1500,-2.717391304,-0.029296982,92.7532833,"Q2,2021",-0.312874457,1.65E-05,-11.78417269,48031,4744,0.098769545,43287,89.355,43287,43287,43287,1,0
21,21,21,1015739,3/30/2021,4419,1015739_0.csv,15731,1473,17676,1.123641218,-0.289849131,1.289849131,0.289842382,0.000121477,1.53E-05,-3.876641667,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1015739/000156459021021322/Financial_Report.xlsx,2021-03,1652,0.467326733,0.005116741,91.33288074,"Q1,2021",0.054644575,-5.88E-06,-8.29535611,49715,5350,0.107613396,44365,97.756,44365,44365,44365,1,0
22,22,22,1015739,12/30/2020,3426,1015739_0.csv,12196,1142,13704,1.123647097,,,,0.000113551,1.25E-05,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1015739/000156459021006373/Financial_Report.xlsx,2020-12,1640,,,90.45534151,"Q4,2020",,NaN,,51628,5958,0.115402495,45670,324.804,45670,45670,45670,1,0
23,23,23,1017655,ttm,14626,1017655_0.csv,370267,4875.333333,58504,0.158004899,-2.770232568,3.770232568,3.202873563,0.000340337,0.000340236,-0.057036691,"('-1', 'ttm')",,2021-ttm,0,,,23.61547928,"-1,ttm",,0.016264919,,,,,,,,,,,
24,24,24,1017655,9/29/2021,3480,1017655_0.csv,98208,1160,13920,0.14173998,0.133471567,0.866528433,-0.133466135,9.57E-05,9.57E-05,1.061948878,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1017655/000185173421000089/Financial_Report.xlsx,2021-09,0,0,0,22.32758621,"Q3,2021",0,8.88E-07,#NAME?,6246,3104,0.496958053,3142,383.772,3142,3142,3142,1,0
25,25,25,1017655,6/29/2021,4016,1017655_0.csv,113335,1338.666667,16064,0.141739092,-0.14318136,1.14318136,0.143182465,0.000110399,0.000110398,-0.989926988,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1017655/000165495421009086/Financial_Report.xlsx,2021-06,0,0,0,23.23207171,"Q2,2021",0,1.37E-07,#NAME?,6352,3086,0.485831234,3267,441.514,3267,3267,3266,0.999693909,0.000306091
26,26,26,1017655,3/30/2021,3513,1017655_0.csv,99140,1171,14052,0.141738955,0.153546668,0.846453332,-0.02875311,9.66E-05,9.66E-05,0.923100165,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1017655/000165495421005705/Financial_Report.xlsx,2021-03,0,0,0,25.02134927,"Q1,2021",0,0.018211753,#NAME?,6116,3009,0.491988228,3107,730.472,3107,3107,3107,1,0
27,27,27,1017655,12/30/2020,3617,1017655_0.csv,117124,1205.666667,14468,0.123527202,,,,0.000119881,0.000119881,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1017655/000165495421003649/Financial_Report.xlsx,2020-12,0,,,23.88719934,"Q4,2020",,NaN,,5787,2804,0.484534301,2983,2382,2983,2983,2983,1,0
28,28,28,1019034,ttm,5243,1019034_0.csv,1000,1747.666667,20972,20.972,-0.009081736,1.009081736,3.036181678,0.000122001,9.19E-07,-2309.250222,"('-1', 'ttm')",,2021-ttm,0,,,69.2733168,"-1,ttm",,15.7288113,,,,,,,,,,,
29,29,29,1019034,9/29/2021,1299,1019034_0.csv,991,433,5196,5.243188698,-0.310846561,1.310846561,0.309357014,3.57E-05,9.65E-07,-16.8674496,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1019034/000143774921026757/Financial_Report.xlsx,2021-09,0,0,0,77.31531948,"Q3,2021",0,-0.005964741,#NAME?,20728,3195,0.154139328,17533,2632,17533,17533,17533,1,0
30,30,30,1019034,6/29/2021,992.09,1019034_0.csv,756,330.6966667,3968.36,5.249153439,0.47536433,0.52463567,-0.474806776,2.73E-05,7.36E-07,11.04237972,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1019034/000143774921020184/Financial_Report.xlsx,2021-06,0,0,0,75.85209003,"Q2,2021",0,0.005572593,#NAME?,20944,2445,0.116739878,18499,5276,18499,18499,18499,1,0
31,31,31,1019034,3/30/2021,1889,1019034_0.csv,1441,629.6666667,7556,5.243580847,-0.776818742,1.776818742,0.77537594,5.19E-05,1.40E-06,-6.750069947,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1019034/000143774921012546/Financial_Report.xlsx,2021-03,0,0,0,59.41582848,"Q1,2021",0,-0.004261324,#NAME?,21483,1861,0.086626635,19622,7870,19622,19622,19622,1,0
32,32,32,1019034,12/30/2020,1064,1019034_0.csv,811,354.6666667,4256,5.24784217,,,,3.53E-05,8.30E-07,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1019034/000143774921007486/Financial_Report.xlsx,2020-12,0,,,70.81766917,"Q4,2020",,NaN,,22521,2185,0.097020559,20335,-,20335,20335,20336,1.000049176,-4.92E-05
33,33,33,1019671,ttm,23866,1019671_0.csv,200,7955.333333,95464,477.32,0.163179916,0.836820084,2.337435324,0.000555346,1.84E-07,2925.114872,"('-1', 'ttm')",,2021-ttm,5402,,,56.52811531,"-1,ttm",,357.6379916,,,,,,,,,,,
34,34,34,1019671,10/30/2021,7151,1019671_0.csv,239,2383.666667,28604,119.6820084,-0.091324201,1.091324201,0.093425076,0.000196579,2.33E-07,-1310.517992,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1019671/000156459021060353/Financial_Report.xlsx,2021-09,1449,72.45,1.39571646,51.90882394,"Q3,2021",0.139942484,0.229953574,-18.08858512,54515,10654,0.19543245,43861,0,43861,43861,43861,1,0
35,35,35,1019671,7/30/2021,6540,1019671_0.csv,219,2180,26160,119.4520548,-0.295857988,1.295857988,0.294536817,0.000179783,2.13E-07,-403.7479452,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1019671/000156459021047915/Financial_Report.xlsx,2021-06,1643,32.86,0.521992713,62.95107034,"Q2,2021",0.052438718,-0.121909703,-12.28691251,57805,11822,0.20451518,45983,0,45983,45983,45983,1,0
36,36,36,1019671,4/29/2021,5052,1019671_0.csv,169,1684,20208,119.5739645,0.011695906,0.988304094,-0.013859067,0.000138878,1.65E-07,10223.57396,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1019671/000156459021032653/Financial_Report.xlsx,2021-03,1380,-690,-12.3132462,56.03721298,"Q1,2021",-1.235711763,-0.262292813,-14.81677386,62018,16696,0.269212164,45322,1037,45322,45591,45322,0.994099713,0.005900287
37,37,37,1019671,1/30/2021,5123,1019671_0.csv,171,1707.666667,20492,119.8362573,,,,0.00014083,1.67E-07,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1019671/000156459021018886/Financial_Report.xlsx,2020-12,930,,,55.2605895,"Q4,2020",,NaN,,50408,18867,0.374285828,31541,1070,31541,32614,31541,0.967100018,0.032899982
38,38,38,1021435,ttm,3517,1021435_0.csv,89035,1172.333333,14068,0.158005279,-2.431550143,3.431550143,2.825320861,8.18E-05,8.18E-05,-0.064981296,"('-1', 'ttm')",,2021-ttm,561.2,,,95.37105488,"-1,ttm",,0.016264741,,,,,,,,,,,
39,39,39,1021435,9/29/2021,919.4,1021435_0.csv,25946,306.4666667,3677.6,0.141740538,-0.022583061,1.022583061,0.022578134,2.53E-05,2.53E-05,-6.276409549,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1021435/000149315221028712/Financial_Report.xlsx,2021-09,152,0.265270506,0.00276112,96.07352621,"Q3,2021",0.233761187,-6.83E-07,-23.66041231,5549,1743,0.314110651,3806,528070,3806,3806,3806,1,0
40,40,40,1021435,6/29/2021,899.1,1021435_0.csv,25373,299.7,3596.4,0.141741221,-0.04523172,1.04523172,0.045222041,2.47E-05,2.47E-05,-3.133668615,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1021435/000149315221020265/Financial_Report.xlsx,2021-06,153.1,0.139435337,0.00146885,94.92826159,"Q2,2021",0.124354756,-1.31E-06,-22.47399177,5424,1980,0.365044248,3444,407718,3444,3444,3444,1,0
41,41,41,1021435,3/30/2021,860.2,1021435_0.csv,24275,286.7333333,3440.8,0.141742533,0.106156565,0.893843435,0.025634911,2.36E-05,2.36E-05,1.335221548,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1021435/000149315221011959/Financial_Report.xlsx,2021-03,143,-0.04960111,-0.000522878,94.86166008,"Q1,2021",-0.044267167,0.018213555,-26.91918688,5298,2003,0.378067195,3296,405023,3296,3296,3295,0.999696602,0.000303398
42,42,42,1021435,12/30/2020,838.7,1021435_0.csv,27158,279.5666667,3354.8,0.123528979,,,,2.78E-05,2.78E-05,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1021435/000149315221007517/Financial_Report.xlsx,2020-12,113.1,,,95.58841064,"Q4,2020",,NaN,,4859,1943,0.399876518,2916,403833,2916,2916,2916,1,0
43,43,43,1022505,ttm,6.667,1022505_0.csv,168,2.222333333,26.668,0.158738095,#NAME?,inf,inf,1.55E-07,1.54E-07,0,"('-1', 'ttm')",,2021-ttm,124.518,,,100,"-1,ttm",,,,,,,,,,,,,
44,44,44,1022505,12/30/2021,0,1022505_0.csv,0,0,0,,,,,0,0,,"('Q4', '2021')",,2021-12,53.393,,,,"Q4,2021",,,,5925,1289,0.217552743,4637,402181,4637,4637,4636,0.999784343,0.000215657
45,45,45,1022505,9/29/2021,0,1022505_0.csv,0,0,0,,,,,0,0,,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1022505/000149315221032215/Financial_Report.xlsx,2021-09,39.875,,,,"Q3,2021",,,,6754,1488,0.220313888,5266,3523,5266,5266,5266,1,0
46,46,46,1022505,6/29/2021,0,1022505_0.csv,0,0,0,,1,0,-1,0,0,,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1022505/000149315221020128/Financial_Report.xlsx,2021-06,0,0,,,"Q2,2021",,,,6857,554.851,0.080917457,6302,3174,6302,6302,6302.149,1.000023643,-2.36E-05
47,47,47,1022505,3/30/2021,6.667,1022505_0.csv,188,2.222333333,26.668,0.141851064,0.335689046,0.664310954,-0.238057143,1.83E-07,1.83E-07,0.422566853,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1022505/000149315221011823/Financial_Report.xlsx,2021-03,31.25,-0.328947368,-0.003289474,100,"Q1,2021",-0.27827556,0.018176152,-1.284603234,5975,2473,0.413891213,3501,3532,3501,3501,3502,1.000285633,-0.000285633
48,48,48,1022505,12/30/2020,8.75,1022505_0.csv,283,2.916666667,35,0.123674912,,,,2.90E-07,2.90E-07,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1022505/000149315221003963/Financial_Report.xlsx,2020-12,25,,,100,"Q4,2020",,NaN,,982.687,1929,1.962985162,946.672,4708,946.672,841.741,-946.313,-1.124232989,2.124232989
49,49,49,1023731,ttm,601477,1023731_0.csv,1200000,200492.3333,2405908,2.004923333,0.041464642,0.958535358,2.834140775,0.013995974,0.001102672,48.35260201,"('-1', 'ttm')",,2021-ttm,300134,,,60.06996111,"-1,ttm",,1.503692414,,,,,,,,,,,
50,50,50,1023731,12/30/2021,156874,1023731_0.csv,1251910,52291.33333,627496,0.501230919,-0.035082904,1.035082904,0.03508251,0.004312421,0.001219472,-14.28704208,"('Q4', '2021')",,2021-12,76797,1.80988405,0.029258424,61.85856165,"Q4,2021",0.700477723,-1.90E-07,-7.893899106,755841,638668,0.844976655,117173,5431,117173,558161,117173,0.209926885,0.790073115
51,51,51,1023731,9/29/2021,151557,1023731_0.csv,1209478,50519,606228,0.50123111,-0.021775751,1.021775751,0.021776211,0.004166258,0.001178139,-23.01785641,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1023731/000102373121000243/Financial_Report.xlsx,2021-09,76726,2.976644941,0.048988096,60.76261737,"Q3,2021",1.172826551,2.25E-07,-7.732818952,672842,520291,0.773273666,152551,1488748,152551,469842,152551,0.324685745,0.675314255
52,52,52,1023731,6/29/2021,148327,1023731_0.csv,1183702,49442.33333,593308,0.501230884,-0.024931856,1.024931856,0.024931073,0.004077466,0.001153031,-20.1040341,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1023731/000102373121000161/Financial_Report.xlsx,2021-06,75915,2.636486768,0.044152394,59.71333608,"Q2,2021",1.057055242,-3.83E-07,-7.625311966,675658,518862,0.767935849,156796,1353431,156796,469624,156796,0.333875611,0.666124389
53,53,53,1023731,3/30/2021,144719,1023731_0.csv,1154908,48239.66667,578876,0.501231267,-0.058777368,1.058777368,0.058777481,0.003978283,0.001124983,-8.527623585,"('Q1', '2021')",,2021-03,70696,1.102660885,0.019086666,57.77126708,"Q1,2021",0.45695472,5.37E-08,-7.733677415,678409,517905,0.763411158,160504,1324504,160504,468939,160504,0.34227053,0.65772947
54,54,54,1023731,12/30/2020,136685,1023731_0.csv,1090794,45561.66667,546740,0.501231213,,,,0.004530269,0.001116473,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1023731/000102373121000091/Financial_Report.xlsx,2020-12,63986,,,55.80495299,"Q4,2020",,NaN,,692811,525408,0.758371331,167403,716354,167403,471514,167403,0.355032936,0.644967064
55,55,55,1029744,ttm,33255,1029744_0.csv,4700,11085,133020,28.30212766,-0.146341463,1.146341463,3.584999311,0.000773822,4.32E-06,-193.3978723,"('-1', 'ttm')",,2021-ttm,12051,,,69.96541873,"-1,ttm",,21.2260301,,,,,,,,,,,
56,56,56,1029744,12/30/2021,7253,1029744_0.csv,4100,2417.666667,29012,7.076097561,0.159491595,0.840508405,-0.159559676,0.000199383,3.99E-06,44.36658599,"('Q4', '2021')",,2021-12,3091,-3.973007712,-0.055975573,70.97752654,"Q4,2021",-0.094926175,-0.000573206,-11.16700223,21842,16978,0.77730977,4864,294377,4864,5418,4864,0.897748247,0.102251753
57,57,57,1029744,9/29/2021,8630,1029744_0.csv,4878,2876.666667,34520,7.076670767,0.003676471,0.996323529,-0.003579263,0.000237236,4.75E-06,1924.854449,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1029744/000143774921028230/Financial_Report.xlsx,2021-09,3205,-178.0555556,-2.585160573,68.8760139,"Q3,2021",-4.383689435,0.000690375,-10.810415,24015,17875,0.744326463,6140,11358,6140,6696,6140,0.916965352,0.083034648
58,58,58,1029744,6/29/2021,8661,1029744_0.csv,4896,2887,34644,7.075980392,0.005686434,0.994313566,-0.005739869,0.000238088,4.77E-06,1244.361695,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1029744/000143774921019692/Financial_Report.xlsx,2021-06,2860,-102.1428571,-1.464910226,69.72635954,"Q2,2021",-2.484309133,-0.00038029,-12.18256205,19573,16534,0.844735094,3039,12087,3039,3591,3039,0.846282373,0.153717627
59,59,59,1029744,3/30/2021,8711,1029744_0.csv,4924,2903.666667,34844,7.076360682,0.049604323,0.950395677,-0.049536279,0.000239463,4.80E-06,142.6561272,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1029744/000143774921012090/Financial_Report.xlsx,2021-03,2895,-11.26459144,-0.159918279,70.43967398,"Q1,2021",-0.271187328,0.0005066,-12.66411907,18273,18057,0.988179281,216,13488,216,2305,216,0.093709328,0.906290672
60,60,60,1029744,12/30/2020,9165,1029744_0.csv,5181,3055,36660,7.075854082,,,,0.000303763,5.30E-06,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1029744/000143774921002630/Financial_Report.xlsx,2020-12,3010,,,73.6933988,"Q4,2020",,NaN,,19630,19697,1.003413143,67,15263,67,2332,-67,-0.028730703,1.028730703
61,61,61,1031308,ttm,965046,1031308_0.csv,24430845,321682,3860184,0.158004523,-2.187053756,3.187053756,2.552796083,0.022455986,0.022449332,-0.072245377,"('-1', 'ttm')",,2021-ttm,162240,,,77.56179498,"-1,ttm",,0.016265764,,,,,,,,,,,
62,62,62,1031308,12/30/2021,271630,1031308_0.csv,7665652,90543.33333,1086520,0.141738759,-0.093166515,1.093166515,0.093166452,0.00746703,0.007467029,-1.521348726,"('Q4', '2021')",,2021-12,47394,0.072543872,0.000929209,78.07053713,"Q4,2021",0.078669463,-8.16E-09,-20.97142978,2659243,2250021,0.846113349,409222,14071,409222,1840214,409222,0.222377397,0.777622603
63,63,63,1031308,9/29/2021,248480,1031308_0.csv,7012337,82826.66667,993920,0.141738767,-0.114604866,1.114604866,0.114604967,0.006830643,0.006830642,-1.236760462,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1031308/000162828021022518/Financial_Report.xlsx,2021-09,44392,0.061568675,0.00078758,78.17450097,"Q3,2021",0.066678725,1.29E-08,-20.08749507,2454083,2075085,0.845564311,378998,10180,378998,1681843,378998,0.225346837,0.774653163
64,64,64,1031308,6/29/2021,222931,1031308_0.csv,6291321,74310.33333,891724,0.141738754,-0.004171144,1.004171144,0.004171077,0.006128308,0.006128308,-33.98078832,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1031308/000162828021016397/Financial_Report.xlsx,2021-06,38014,1.454635901,0.019134024,76.02352297,"Q2,2021",1.619940062,-9.39E-09,-23.36033938,2454115,1982301,0.807745766,471814,10579,471814,1741656,471814,0.27089965,0.72910035
65,65,65,1031308,3/30/2021,222005,1031308_0.csv,6265188,74001.66667,888020,0.141738763,0.118810214,0.881189786,0.011103672,0.006102853,0.006102852,1.192984663,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1031308/000162828021009814/Financial_Report.xlsx,2021-03,32440,-0.038402758,-0.00049362,77.79824779,"Q1,2021",-0.041791235,0.018211618,-31.06507791,1626868,1272871,0.782405825,353997,11154,353997,1026596,353997,0.344826008,0.655173992
66,66,66,1031308,12/30/2020,219567,1031308_0.csv,7109919,73189,878268,0.123527146,,,,0.007277298,0.007277297,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1031308/000162828021003727/Financial_Report.xlsx,2020-12,36240,,,76.97149389,"Q4,2020",,NaN,,1126035,784436,0.69663554,341599,11661,341599,587599,341599,0.581347143,0.418652857
67,67,67,1039280,ttm,58046,1039280_0.csv,1469476,19348.66667,232184,0.158004622,-2.365248178,3.365248178,2.751437989,0.001350692,0.001350291,-0.066802555,"('-1', 'ttm')",,2021-ttm,6815,,,46.54067464,"-1,ttm",,0.016265703,,,,,,,,,,,
68,68,68,1039280,12/30/2021,15473,1039280_0.csv,436662,5157.666667,61892,0.141738919,-0.152893838,1.152893838,0.152894717,0.000425348,0.000425348,-0.927041408,"('Q4', '2021')",,2021-12,1807,0.031204131,0.000631717,49.39572158,"Q4,2021",0.053482892,1.08E-07,-29.70893244,81499,21473,0.263475625,60026,12399,53101,53125,60026,1.129901176,-0.129901176
