Company, CIK, Filing form type, Year, Quarter, Filing date, Filelink
VERTEX INC,1806837,10Q,2020,Q4,2020-01-01,1806837_10Q_2021_0001558370-21-015677.htm
GSE SYSTEMS INC,944480,8K,2021,Q4,2021-11-01,944480_8K_2021_0001140361-21-037883.htm
ENVESTNET INC,1337619,8K,2021,Q4,2021-11-01,1337619_8K_2021_0001628280-21-022209.htm
NUANCE COMMUNICATIONS INC,1002517,8K,2021,Q2,2021-07-01,1002517_8K_2021_0001193125-21-207731.htm
COMMVAULT SYSTEMS INC,1169561,10K,2019,Q4,2019-01-01,1169561_10K_2021_0001169561-21-000018.htm
SPROUT SOCIAL INC,1517375,8K,2021,Q3,2021-10-01,1517375_8K_2021_0001517375-21-000051.htm
BOXLIGHT CORP,1624512,8K,2021,Q4,2021-11-01,1624512_8K_2021_0001493152-21-026836.htm
IDEANOMICS INC,837852,8K,2021,Q4,2021-11-01,837852_8K_2021_0001104659-21-143325.htm
ZSCALER INC,1713683,8K,2021,Q2,2021-05-01,1713683_8K_2021_0001713683-21-000083.htm
BRIDGELINE DIGITAL INC,1378590,8K,2021,Q3,2021-09-01,1378590_8K_2021_0001437749-21-021854.htm
ISSUER DIRECT CORP,843006,8K,2021,Q2,2021-05-01,843006_8K_2021_0001654954-21-005217.htm
NUANCE COMMUNICATIONS INC,1002517,8K,2021,Q1,2021-02-01,1002517_8K_2021_0001002517-21-000023.htm
RIOT BLOCKCHAIN INC,1167419,8K,2021,Q3,2021-10-01,1167419_8K_2021_0001079973-21-001003.htm
BLACKBOXSTOCKS INC,1567900,8K,2021,Q3,2021-10-01,1567900_8K_2021_0001437749-21-023704.htm
VEEVA SYSTEMS INC,1393052,8K,2021,Q1,2021-03-01,1393052_8K_2021_0001393052-21-000008.htm
ONESPAN INC,1044777,8K,2021,Q1,2021-04-01,1044777_8K_2021_0001558370-21-004188.htm
BENTLEY SYSTEMS INC,1031308,8K,2020,Q4,2020-01-01,1031308_8K_2021_0001104659-21-007707.htm
INTELLIGENT SYSTEM CORP,320340,8K,2021,Q1,2021-04-01,320340_8K_2021_0001171843-21-002549.htm
EVOLVING SYSTEMS INC,1052054,10Q,2020,Q4,2020-01-01,1052054_10Q_2021_0001562762-21-000443.htm
FIVE9 INC,1288847,8K,2021,Q2,2021-07-01,1288847_8K_2021_0001193125-21-217962.htm
NEW RELIC INC,1448056,8K,2021,Q4,2021-11-01,1448056_8K_2021_0001448056-21-000068.htm
OKTA INC,1660134,10K,2019,Q4,2019-01-01,1660134_10K_2021_0001660134-21-000007.htm
DOMO INC,1505952,8K,2021,Q3,2021-08-01,1505952_8K_2021_0001505952-21-000025.htm
TAUTACHROME INC,1389067,10K,2019,Q4,2019-01-01,1389067_10K_2020_0001477932-21-001762.htm
INTELLIGENT SYSTEM CORP,320340,8K,2021,Q1,2021-04-01,320340_8K_2021_0001437749-21-008871.htm
ROCKETFUEL BLOCKCHAIN INC,823546,8K,2021,Q1,2021-04-01,823546_8K_2021_0001493152-21-009828.htm
PALO ALTO NETWORKS INC,1327567,10Q,2020,Q4,2020-01-01,1327567_10Q_2021_0001327567-21-000004.htm
ALTAIR ENGINEERING INC,1701732,8K,2021,Q4,2021-12-01,1701732_8K_2021_0001193125-21-357429.htm
EVOLVING SYSTEMS INC,1052054,10K,2019,Q4,2019-01-01,1052054_10K_2020_0001562762-21-000123.htm
ALARM.COM HOLDINGS INC,1459200,10Q,2020,Q4,2020-01-01,1459200_10Q_2021_0001459200-21-000021.htm
SYNACOR INC,1408278,8K,2021,Q1,2021-02-01,1408278_8K_2021_0001193125-21-037370.htm
VEEVA SYSTEMS INC,1393052,8K,2021,Q3,2021-09-01,1393052_8K_2021_0001393052-21-000032.htm
PAYCOM SOFTWARE INC,1590955,10K,2019,Q4,2019-01-01,1590955_10K_2020_0001564590-21-006660.htm
SS&C TECHNOLOGIES HLDGS INC,1402436,8K,2021,Q3,2021-09-01,1402436_8K_2021_0001564590-21-046761.htm
NUANCE COMMUNICATIONS INC,1002517,8K,2021,Q2,2021-05-01,1002517_8K_2021_0001002517-21-000032.htm
PEGASYSTEMS INC,1013857,8K,2021,Q2,2021-07-01,1013857_8K_2021_0001013857-21-000163.htm
ASANA INC,1477720,10Q,2020,Q4,2020-01-01,1477720_10Q_2021_0001477720-21-000054.htm
GUIDEWIRE SOFTWARE INC,1528396,8K,2021,Q4,2021-12-01,1528396_8K_2021_0001528396-21-000116.htm
8X8 INC,1023731,8K,2021,Q4,2021-12-01,1023731_8K_2021_0001023731-21-000267.htm
COMMVAULT SYSTEMS INC,1169561,8K,2021,Q2,2021-05-01,1169561_8K_2021_0001169561-21-000015.htm
2U INC,1459417,8K,2021,Q2,2021-07-01,1459417_8K_2021_0001193125-21-229171.htm
INTELLIGENT SYSTEM CORP,320340,10Q,2020,Q4,2020-01-01,320340_10Q_2021_0001437749-21-010685.htm
PALANTIR TECHNOLOG INC,1321655,8K,2021,Q1,2021-02-01,1321655_8K_2021_0001193125-21-043333.htm
RIOT BLOCKCHAIN INC,1167419,8K,2021,Q4,2021-11-01,1167419_8K_2021_0001079973-21-001103.htm
AVAYA HLDGS CORP,1418100,10Q,2020,Q4,2020-01-01,1418100_10Q_2021_0001418100-21-000045.htm
ROCKETFUEL BLOCKCHAIN INC,823546,10Q,2020,Q4,2020-01-01,823546_10Q_2021_0001493152-21-029403.htm
AGILYSYS INC,78749,8K,2020,Q4,2020-01-01,78749_8K_2021_0001564590-21-002308.htm
TENABLE HOLDINGS INC,1660280,8K,2021,Q3,2021-10-01,1660280_8K_2021_0001660280-21-000164.htm
SPROUT SOCIAL INC,1517375,10Q,2020,Q4,2020-01-01,1517375_10Q_2021_0001517375-21-000025.htm
ANSYS INC,1013462,10K,2019,Q4,2019-01-01,1013462_10K_2020_0001013462-21-000009.htm
CERENCE INC,1768267,10Q,2020,Q4,2020-01-01,1768267_10Q_2021_0001564590-21-025918.htm
MEDALLIA INC,1540184,8K,2021,Q3,2021-09-01,1540184_8K_2021_0001140361-21-030562.htm
VERITONE INC,1615165,8K,2021,Q4,2021-11-01,1615165_8K_2021_0001157523-21-001383.htm
HUBSPOT INC,1404655,8K,2021,Q2,2021-05-01,1404655_8K_2021_0001564590-21-024097.htm
ACI WORLDWIDE INC,935036,8K,2021,Q4,2021-12-01,935036_8K_2021_0000935036-21-000075.htm
ORACLE CORP,1341439,8K,2021,Q1,2021-03-01,1341439_8K_2021_0001564590-21-012058.htm
IDEANOMICS INC,837852,8K,2021,Q2,2021-05-01,837852_8K_2021_0001104659-21-066390.htm
ISSUER DIRECT CORP,843006,8K,2021,Q3,2021-08-01,843006_8K_2021_0001654954-21-008559.htm
COUPA SOFTWARE INC,1385867,10Q,2020,Q4,2020-01-01,1385867_10Q_2021_0001385867-21-000019.htm
OBLONG INC,746210,10Q,2020,Q4,2020-01-01,746210_10Q_2021_0000746210-21-000062.htm
UNITY SOFTWARE INC,1810806,8K,2021,Q3,2021-08-01,1810806_8K_2021_0001810806-21-000146.htm
CERIDIAN HCM HOLDING,1725057,10Q,2020,Q4,2020-01-01,1725057_10Q_2021_0001564590-21-054003.htm
PROGRESS SOFTWARE CORP,876167,8K,2020,Q4,2020-01-01,876167_8K_2021_0000876167-21-000009.htm
NUANCE COMMUNICATIONS INC,1002517,8K,2021,Q1,2021-02-01,1002517_8K_2021_0001002517-21-000015.htm
NCINO INC,1566895,10Q,2020,Q4,2020-01-01,1566895_10Q_2021_0001566895-21-000044.htm
ONESPAN INC,1044777,8K,2021,Q4,2021-11-01,1044777_8K_2021_0001558370-21-014074.htm
SUMO LOGIC INC,1643269,8K,2021,Q3,2021-09-01,1643269_8K_2021_0001643269-21-000026.htm
SYNOPSYS INC,883241,10Q,2020,Q4,2020-01-01,883241_10Q_2021_0000883241-21-000017.htm
EVERBRIDGE INC,1437352,8K,2021,Q4,2021-11-01,1437352_8K_2021_0001564590-21-055752.htm
PALO ALTO NETWORKS INC,1327567,8K,2021,Q1,2021-03-01,1327567_8K_2021_0001193125-21-087516.htm
EVOLVING SYSTEMS INC,1052054,10Q,2020,Q4,2020-01-01,1052054_10Q_2021_0001562762-21-000223.htm
PAYCOM SOFTWARE INC,1590955,8K,2021,Q2,2021-07-01,1590955_8K_2021_0001193125-21-225060.htm
CERIDIAN HCM HOLDING,1725057,8K,2021,Q2,2021-05-01,1725057_8K_2021_0001564590-21-024075.htm
BOTTOMLINE TECHNOLOGIES INC,1073349,8K,2021,Q1,2021-03-01,1073349_8K_2021_0001073349-21-000040.htm
SPS COMMERCE INC,1092699,8K,2021,Q1,2021-04-01,1092699_8K_2021_0001171843-21-002949.htm
MEDALLIA INC,1540184,8K,2021,Q2,2021-07-01,1540184_8K_2021_0001193125-21-225759.htm
BLACKBAUD INC,1280058,8K,2021,Q4,2021-11-01,1280058_8K_2021_0001280058-21-000046.htm
AGILYSYS INC,78749,10Q,2020,Q4,2020-01-01,78749_10Q_2021_0001564590-21-039159.htm
COMMVAULT SYSTEMS INC,1169561,8K,2021,Q3,2021-10-01,1169561_8K_2021_0001169561-21-000037.htm
ZENDESK INC,1463172,10Q,2020,Q4,2020-01-01,1463172_10Q_2021_0001463172-21-000323.htm
MANHATTAN ASSOCIATES INC,1056696,8K,2021,Q1,2021-02-01,1056696_8K_2021_0001564590-21-003846.htm
JACK IN THE BOX INC,807882,10Q,2020,Q4,2020-01-01,807882_10Q_2021_0000807882-21-000008.htm
CROWDSTRIKE HOLDINGS INC,1535527,10Q,2020,Q4,2020-01-01,1535527_10Q_2021_0001535527-21-000022.htm
ALTERYX INC,1689923,10Q,2020,Q4,2020-01-01,1689923_10Q_2021_0001689923-21-000050.htm
QUMU CORP,892482,10K,2019,Q4,2019-01-01,892482_10K_2020_0000892482-21-000008.htm
PEGASYSTEMS INC,1013857,8K,2021,Q2,2021-07-01,1013857_8K_2021_0001013857-21-000176.htm
MODEL N INC,1118417,10K,2020,Q4,2020-01-01,1118417_10K_2021_0001118417-21-000166.htm
PTC INC,857005,8K,2020,Q4,2020-01-01,857005_8K_2021_0001564590-21-002596.htm
BOXLIGHT CORP,1624512,8K,2021,Q3,2021-09-01,1624512_8K_2021_0001493152-21-023177.htm
YEXT INC,1614178,8K,2021,Q3,2021-09-01,1614178_8K_2021_0001614178-21-000208.htm
REALPAGE INC,1286225,8K,2021,Q1,2021-04-01,1286225_8K_2021_0001193125-21-125818.htm
CDK GLOBAL INC,1609702,8K,2021,Q1,2021-02-01,1609702_8K_2021_0001171843-21-001284.htm
MODEL N INC,1118417,8K,2021,Q4,2021-11-01,1118417_8K_2021_0001118417-21-000150.htm
UPLAND SOFTWARE INC,1505155,8K,2021,Q2,2021-05-01,1505155_8K_2021_0001505155-21-000030.htm
ZOOM TELEPHONICS INC,1467761,8K,2021,Q4,2021-11-01,1467761_8K_2021_0001493152-21-026943.htm
EBIX INC,814549,8K,2021,Q1,2021-03-01,814549_8K_2021_0001193125-21-073453.htm
BOTTOMLINE TECHNOLOGIES INC,1073349,10K,2020,Q4,2020-01-01,1073349_10K_2021_0001073349-21-000114.htm
VERINT SYSTEMS INC,1166388,8K,2020,Q4,2020-01-01,1166388_8K_2021_0001166388-21-000008.htm
JAMF HOLDING CORP,1721947,8K,2021,Q4,2021-11-01,1721947_8K_2021_0001628280-21-023007.htm
ASPEN TECHNOLOGY INC,929940,8K,2021,Q4,2021-12-01,929940_8K_2021_0000929940-21-000091.htm
8X8 INC,1023731,10K,2019,Q4,2019-01-01,1023731_10K_2021_0001023731-21-000091.htm
PALANTIR TECHNOLOG INC,1321655,10Q,2020,Q4,2020-01-01,1321655_10Q_2021_0001193125-21-323920.htm
MONGODB INC,1441816,10K,2020,Q4,2020-01-01,1441816_10K_2021_0001441816-21-000051.htm
ANSYS INC,1013462,8K,2021,Q1,2021-02-01,1013462_8K_2021_0001013462-21-000008.htm
APPIAN CORP,1441683,10K,2020,Q4,2020-01-01,1441683_10K_2020_0001441683-21-000018.htm
TYLER TECHNOLOGIES INC,860731,8K,2021,Q1,2021-02-01,860731_8K_2021_0000860731-21-000009.htm
ASURE SOFTWARE INC,884144,10Q,2020,Q4,2020-01-01,884144_10Q_2021_0000884144-21-000007.htm
ASPEN TECHNOLOGY INC,929940,8K,2021,Q3,2021-10-01,929940_8K_2021_0000929940-21-000069.htm
VERINT SYSTEMS INC,1166388,8K,2021,Q2,2021-06-01,1166388_8K_2021_0001166388-21-000079.htm
SNOWFLAKE INC,1640147,8K,2021,Q1,2021-03-01,1640147_8K_2021_0001640147-21-000021.htm
SYNCHRONOSS TECHNOLOGIES,1131554,8K,2021,Q4,2021-11-01,1131554_8K_2021_0001131554-21-000078.htm
EGAIN CORP,1066194,10Q,2020,Q4,2020-01-01,1066194_10Q_2021_0001558370-21-015782.htm
UNITY SOFTWARE INC,1810806,8K,2021,Q4,2021-11-01,1810806_8K_2021_0001193125-21-324500.htm
COMMVAULT SYSTEMS INC,1169561,10Q,2020,Q4,2020-01-01,1169561_10Q_2021_0001169561-21-000032.htm
MICROSOFT CORP,789019,8K,2021,Q1,2021-04-01,789019_8K_2021_0001193125-21-112687.htm
BOX INC,1372612,8K,2021,Q1,2021-04-01,1372612_8K_2021_0001193125-21-109687.htm
ZIX CORP,855612,8K,2021,Q3,2021-08-01,855612_8K_2021_0001193125-21-237022.htm
IDEANOMICS INC,837852,8K,2021,Q2,2021-06-01,837852_8K_2021_0001104659-21-082592.htm
ONESPAN INC,1044777,8K,2021,Q4,2021-11-01,1044777_8K_2021_0001558370-21-016021.htm
CHANNELADVISOR CORP,1169652,8K,2021,Q2,2021-05-01,1169652_8K_2021_0001169652-21-000067.htm
AUDIOEYE INC,1362190,8K,2021,Q3,2021-08-01,1362190_8K_2021_0001104659-21-103465.htm
DOCUSIGN INC,1261333,8K,2021,Q2,2021-05-01,1261333_8K_2021_0001261333-21-000080.htm
SUMO LOGIC INC,1643269,8K,2021,Q3,2021-09-01,1643269_8K_2021_0001643269-21-000031.htm
MIX TELEMATICS LTD,1576914,8K,2021,Q2,2021-05-01,1576914_8K_2021_0001628280-21-010957.htm
AUTOMATIC DATA PROCESSING,8670,8K,2021,Q2,2021-07-01,8670_8K_2021_0000008670-21-000018.htm
INUVO INC,829323,10Q,2020,Q4,2020-01-01,829323_10Q_2021_0000829323-21-000020.htm
SMITH MICRO SOFTWARE INC,948708,8K,2021,Q4,2021-11-01,948708_8K_2021_0001564590-21-056174.htm
BENTLEY SYSTEMS INC,1031308,10Q,2020,Q4,2020-01-01,1031308_10Q_2021_0001628280-21-022518.htm
SEACHANGE INTERNATIONAL INC,1019671,8K,2021,Q1,2021-04-01,1019671_8K_2021_0001564590-21-018697.htm
APPIAN CORP,1441683,8K,2021,Q3,2021-08-01,1441683_8K_2021_0001441683-21-000061.htm
MANHATTAN ASSOCIATES INC,1056696,8K,2021,Q1,2021-04-01,1056696_8K_2021_0001564590-21-020887.htm
ANSYS INC,1013462,8K,2021,Q2,2021-05-01,1013462_8K_2021_0001013462-21-000023.htm
COMMVAULT SYSTEMS INC,1169561,8K,2020,Q4,2020-01-01,1169561_8K_2021_0001169561-21-000003.htm
CLOUDFLARE INC,1477333,8K,2021,Q3,2021-08-01,1477333_8K_2021_0001477333-21-000033.htm
GTY TECHNOLOGY HOLDINGS,1682325,8K,2021,Q2,2021-05-01,1682325_8K_2021_0001558370-21-007069.htm
BIO-KEY INTERNATIONAL INC,1019034,8K,2021,Q2,2021-05-01,1019034_8K_2021_0001437749-21-012199.htm
SPROUT SOCIAL INC,1517375,10Q,2020,Q4,2020-01-01,1517375_10Q_2021_0001517375-21-000062.htm
UPLAND SOFTWARE INC,1505155,10Q,2020,Q4,2020-01-01,1505155_10Q_2021_0001505155-21-000052.htm
XPERI HOLDING CORP,1803696,10Q,2020,Q4,2020-01-01,1803696_10Q_2021_0001564590-21-024108.htm
EVERBRIDGE INC,1437352,10Q,2020,Q4,2020-01-01,1437352_10Q_2021_0001564590-21-026068.htm
SALESFORCE.COM INC,1108524,10Q,2020,Q4,2020-01-01,1108524_10Q_2021_0001108524-21-000047.htm
VERINT SYSTEMS INC,1166388,8K,2021,Q3,2021-08-01,1166388_8K_2021_0001166388-21-000107.htm
INUVO INC,829323,10Q,2020,Q4,2020-01-01,829323_10Q_2021_0000829323-21-000039.htm
NCINO INC,1566895,10K,2020,Q4,2020-01-01,1566895_10K_2021_0001566895-21-000007.htm
SMITH MICRO SOFTWARE INC,948708,8K,2021,Q3,2021-08-01,948708_8K_2021_0001564590-21-043958.htm
BRIDGELINE DIGITAL INC,1378590,8K,2021,Q2,2021-05-01,1378590_8K_2021_0001437749-21-012365.htm
AUTOMATIC DATA PROCESSING,8670,10Q,2020,Q4,2020-01-01,8670_10Q_2021_0000008670-21-000014.htm
SERVICENOW INC,1373715,10Q,2020,Q4,2020-01-01,1373715_10Q_2021_0001373715-21-000292.htm
VERITONE INC,1615165,10Q,2020,Q4,2020-01-01,1615165_10Q_2021_0001564590-21-041111.htm
SPLUNK INC,1353283,10K,2019,Q4,2019-01-01,1353283_10K_2021_0001353283-21-000009.htm
TENABLE HOLDINGS INC,1660280,8K,2021,Q3,2021-09-01,1660280_8K_2021_0001660280-21-000150.htm
OBLONG INC,746210,10Q,2020,Q4,2020-01-01,746210_10Q_2021_0000746210-21-000034.htm
FIREEYE INC,1370880,10Q,2020,Q4,2020-01-01,1370880_10Q_2021_0001370880-21-000020.htm
ONESPAN INC,1044777,8K,2021,Q1,2021-04-01,1044777_8K_2021_0001387131-21-004907.htm
THEGLOBE.COM INC,1066684,10Q,2020,Q4,2020-01-01,1066684_10Q_2021_0001410578-21-000142.htm
ZOOM VIDEO COMUNICATIONS INC,1585521,8K,2021,Q1,2021-03-01,1585521_8K_2021_0001585521-21-000011.htm
2U INC,1459417,8K,2021,Q1,2021-04-01,1459417_8K_2021_0001193125-21-136818.htm
VIRNETX HOLDING CORP,1082324,10Q,2020,Q4,2020-01-01,1082324_10Q_2021_0001140361-21-036975.htm
ELASTIC NV,1707753,8K,2021,Q2,2021-07-01,1707753_8K_2021_0001193125-21-208712.htm
ROCKETFUEL BLOCKCHAIN INC,823546,10K,2020,Q4,2020-01-01,823546_10K_2021_0001493152-21-017524.htm
ORACLE CORP,1341439,8K,2021,Q2,2021-06-01,1341439_8K_2021_0001564590-21-032994.htm
PAYCOM SOFTWARE INC,1590955,8K,2021,Q3,2021-08-01,1590955_8K_2021_0001564590-21-040219.htm
BLACKBOXSTOCKS INC,1567900,8K,2021,Q4,2021-11-01,1567900_8K_2021_0001437749-21-026901.htm
CITRIX SYSTEMS INC,877890,8K,2021,Q4,2021-11-01,877890_8K_2021_0001193125-21-328882.htm
PHUNWARE INC,1665300,8K,2021,Q3,2021-09-01,1665300_8K_2021_0001628280-21-018506.htm
LIVEPERSON INC,1102993,10K,2019,Q4,2019-01-01,1102993_10K_2020_0001102993-21-000031.htm
CERENCE INC,1768267,10Q,2020,Q4,2020-01-01,1768267_10Q_2021_0001564590-21-042523.htm
MAX SOUND CORP,1353499,10Q,2020,Q4,2020-01-01,1353499_10Q_2021_0001477932-21-003454.htm
FORTINET INC,1262039,8K,2021,Q4,2021-11-01,1262039_8K_2021_0001262039-21-000027.htm
MIX TELEMATICS LTD,1576914,8K,2021,Q3,2021-08-01,1576914_8K_2021_0001628280-21-017752.htm
INTELLIGENT SYSTEM CORP,320340,10K,2020,Q4,2020-01-01,320340_10K_2020_0001437749-21-004982.htm
VERINT SYSTEMS INC,1166388,8K,2021,Q1,2021-02-01,1166388_8K_2021_0001193125-21-024760.htm
SOLARWINDS CORP,1739942,10Q,2020,Q4,2020-01-01,1739942_10Q_2021_0001739942-21-000154.htm
ANSYS INC,1013462,8K,2021,Q3,2021-08-01,1013462_8K_2021_0001013462-21-000038.htm
BENEFITFOCUS INC,1576169,8K,2021,Q4,2021-11-01,1576169_8K_2021_0001193125-21-315621.htm
QUALYS INC,1107843,10Q,2020,Q4,2020-01-01,1107843_10Q_2021_0001437749-21-019179.htm
ADOBE INC,796343,8K,2021,Q3,2021-10-01,796343_8K_2021_0000796343-21-000213.htm
ZENDESK INC,1463172,8K,2021,Q1,2021-02-01,1463172_8K_2021_0001463172-21-000028.htm
ALTERYX INC,1689923,8K,2021,Q3,2021-08-01,1689923_8K_2021_0001689923-21-000079.htm
J2 GLOBAL INC,1084048,10Q,2020,Q4,2020-01-01,1084048_10Q_2021_0001084048-21-000069.htm
UNITY SOFTWARE INC,1810806,10Q,2020,Q4,2020-01-01,1810806_10Q_2021_0001810806-21-000171.htm
PAYCOM SOFTWARE INC,1590955,10Q,2020,Q4,2020-01-01,1590955_10Q_2021_0001564590-21-024960.htm
CLOUDFLARE INC,1477333,8K,2021,Q4,2021-11-01,1477333_8K_2021_0001477333-21-000042.htm
NEW RELIC INC,1448056,8K,2021,Q3,2021-08-01,1448056_8K_2021_0001448056-21-000060.htm
ZOOM TELEPHONICS INC,1467761,8K,2021,Q1,2021-02-01,1467761_8K_2021_0001654954-21-001266.htm
SNOWFLAKE INC,1640147,10K,2019,Q4,2019-01-01,1640147_10K_2021_0001640147-21-000073.htm
MIX TELEMATICS LTD,1576914,8K,2021,Q4,2021-12-01,1576914_8K_2021_0001628280-21-025289.htm
AUTODESK INC,769397,8K,2021,Q3,2021-10-01,769397_8K_2021_0001193125-21-293028.htm
SPLUNK INC,1353283,8K,2021,Q3,2021-08-01,1353283_8K_2021_0001353283-21-000023.htm
UNITY SOFTWARE INC,1810806,10Q,2020,Q4,2020-01-01,1810806_10Q_2021_0001810806-21-000103.htm
AUTODESK INC,769397,8K,2021,Q4,2021-11-01,769397_8K_2021_0000769397-21-000087.htm
BOX INC,1372612,8K,2021,Q2,2021-05-01,1372612_8K_2021_0001564590-21-030473.htm
FIREEYE INC,1370880,8K,2021,Q1,2021-02-01,1370880_8K_2021_0001370880-21-000005.htm
ALTAIR ENGINEERING INC,1701732,8K,2021,Q1,2021-02-01,1701732_8K_2021_0001564590-21-008869.htm
DATTO HOLDING CORP,1724570,8K,2021,Q1,2021-03-01,1724570_8K_2021_0001724570-21-000013.htm
JAMF HOLDING CORP,1721947,8K,2021,Q3,2021-08-01,1721947_8K_2021_0001628280-21-016402.htm
QUMU CORP,892482,8K,2021,Q3,2021-08-01,892482_8K_2021_0001493152-21-021525.htm
FORTINET INC,1262039,8K,2021,Q1,2021-04-01,1262039_8K_2021_0001104659-21-056360.htm
REALNETWORKS INC,1046327,8K,2021,Q4,2021-11-01,1046327_8K_2021_0001046327-21-000040.htm
ACTUA CORP,1085621,8K,2021,Q3,2021-09-01,1085621_8K_2021_0001193125-21-263197.htm
SERVICENOW INC,1373715,10Q,2020,Q4,2020-01-01,1373715_10Q_2021_0001373715-21-000114.htm
QUALYS INC,1107843,8K,2021,Q1,2021-02-01,1107843_8K_2021_0001193125-21-036397.htm
PTC INC,857005,8K,2021,Q1,2021-04-01,857005_8K_2021_0001564590-21-021324.htm
CITRIX SYSTEMS INC,877890,10Q,2020,Q4,2020-01-01,877890_10Q_2021_0000877890-21-000351.htm
ORACLE CORP,1341439,10K,2020,Q4,2020-01-01,1341439_10K_2021_0001564590-21-033616.htm
FASTLY INC,1517413,10Q,2020,Q4,2020-01-01,1517413_10Q_2021_0001517413-21-000069.htm
IDEANOMICS INC,837852,8K,2021,Q3,2021-09-01,837852_8K_2021_0001104659-21-117858.htm
QUALYS INC,1107843,10K,2019,Q4,2019-01-01,1107843_10K_2020_0001437749-21-003648.htm
TENABLE HOLDINGS INC,1660280,10K,2019,Q4,2019-01-01,1660280_10K_2020_0001660280-21-000027.htm
REALNETWORKS INC,1046327,8K,2021,Q3,2021-08-01,1046327_8K_2021_0001193125-21-259103.htm
CLOUDFLARE INC,1477333,10K,2019,Q4,2019-01-01,1477333_10K_2020_0001477333-21-000009.htm
ORACLE CORP,1341439,10Q,2020,Q4,2020-01-01,1341439_10Q_2021_0001564590-21-012539.htm
DATADOG INC,1561550,8K,2021,Q4,2021-11-01,1561550_8K_2021_0001561550-21-000024.htm
FAIR ISAAC CORP,814547,8K,2021,Q4,2021-12-01,814547_8K_2021_0001193125-21-356250.htm
INTRUSION INC,736012,8K,2021,Q3,2021-08-01,736012_8K_2021_0001683168-21-003422.htm
AVAYA HLDGS CORP,1418100,10Q,2019,Q4,2019-01-01,1418100_10Q_2020_0001418100-21-000010.htm
SPROUT SOCIAL INC,1517375,8K,2021,Q2,2021-06-01,1517375_8K_2021_0001517375-21-000033.htm
VERINT SYSTEMS INC,1166388,8K,2021,Q1,2021-04-01,1166388_8K_2021_0001166388-21-000038.htm
SOLARWINDS CORP,1739942,10Q,2020,Q4,2020-01-01,1739942_10Q_2021_0001739942-21-000127.htm
JACK IN THE BOX INC,807882,10Q,2020,Q4,2020-01-01,807882_10Q_2021_0000807882-21-000013.htm
DOMO INC,1505952,8K,2021,Q1,2021-03-01,1505952_8K_2021_0001505952-21-000004.htm
BILL.COM HOLDINGS INC,1786352,8K,2021,Q1,2021-02-01,1786352_8K_2021_0001564590-21-004311.htm
MITEK SYSTEMS INC,807863,8K,2021,Q2,2021-06-01,807863_8K_2021_0000807863-21-000069.htm
PTC INC,857005,10Q,2019,Q4,2019-01-01,857005_10Q_2020_0001564590-21-004303.htm
SUMO LOGIC INC,1643269,10Q,2020,Q4,2020-01-01,1643269_10Q_2021_0001643269-21-000033.htm
FASTLY INC,1517413,8K,2021,Q2,2021-05-01,1517413_8K_2021_0001517413-21-000065.htm
RIOT BLOCKCHAIN INC,1167419,8K,2021,Q4,2021-11-01,1167419_8K_2021_0001079973-21-001168.htm
PHUNWARE INC,1665300,10Q,2020,Q4,2020-01-01,1665300_10Q_2021_0001628280-21-010391.htm
CERIDIAN HCM HOLDING,1725057,8K,2021,Q3,2021-09-01,1725057_8K_2021_0001564590-21-048363.htm
DIGITAL TURBINE INC,317788,10K,2020,Q4,2020-01-01,317788_10K_2021_0001628280-21-012023.htm
ANAPLAN INC,1540755,10K,2019,Q4,2019-01-01,1540755_10K_2021_0001564590-21-012868.htm
TERADATA CORP,816761,8K,2021,Q2,2021-06-01,816761_8K_2021_0001193125-21-185053.htm
NORTONLIFELOCK INC,849399,8K,2021,Q2,2021-07-01,849399_8K_2021_0001157523-21-000930.htm
BOX INC,1372612,8K,2021,Q3,2021-09-01,1372612_8K_2021_0001387131-21-009339.htm
MEDALLIA INC,1540184,8K,2021,Q1,2021-03-01,1540184_8K_2021_0001157523-21-000300.htm
ONESPAN INC,1044777,8K,2021,Q3,2021-10-01,1044777_8K_2021_0001558370-21-013098.htm
LIVEPERSON INC,1102993,8K,2021,Q3,2021-08-01,1102993_8K_2021_0001102993-21-000117.htm
AWARE INC,1015739,8K,2021,Q2,2021-05-01,1015739_8K_2020_0001193125-21-167879.htm
ROCKETFUEL BLOCKCHAIN INC,823546,8K,2021,Q3,2021-09-01,823546_8K_2021_0001493152-21-022813.htm
GUIDEWIRE SOFTWARE INC,1528396,10Q,2020,Q4,2020-01-01,1528396_10Q_2021_0001528396-21-000028.htm
AWARE INC,1015739,10Q,2020,Q4,2020-01-01,1015739_10Q_2021_0001564590-21-038614.htm
GTY TECHNOLOGY HOLDINGS,1682325,8K,2021,Q1,2021-02-01,1682325_8K_2021_0001558370-21-001060.htm
QAD INC,1036188,8K,2021,Q3,2021-08-01,1036188_8K_2021_0001437749-21-020975.htm
BLACKBAUD INC,1280058,8K,2021,Q1,2021-02-01,1280058_8K_2021_0001280058-21-000003.htm
JACK IN THE BOX INC,807882,8K,2021,Q2,2021-06-01,807882_8K_2021_0001157523-21-000833.htm
FAIR ISAAC CORP,814547,8K,2021,Q4,2021-12-01,814547_8K_2021_0001193125-21-361078.htm
